scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
11571,1377.88,10,16.24,3,83.15,1,0.01,100.89,127.62,0.01,42.99,125.56,125.82,23696.4272658823,539.4834851782139,56071.577699430854,453.32259845038146,110448.01195647503,889.1169863124087,8,True,True,True,True
11562,652.69,12,50.52,2,108.65,2,0.01,46.7,215.46,0.01,78.68,63.63,93.41,72331.13882327657,554.1780183058687,57308.09352707842,219.3829036998268,111778.12135773254,456.81747365821917,5,True,True,True,True
11574,1007.84,10,40.4,3,113.0,1,0.01,32.94,108.56,0.01,44.95,100.15,114.99,38685.81034275812,633.122265927784,56143.355916860244,926.8402311768577,110530.10327030772,1841.0364622141562,6,True,True,True,True
11576,1578.06,10,40.56,5,78.96,1,0.01,34.4,130.51,0.01,149.59,145.87,79.92,28120.690093659035,481.1930745020246,55212.97176373828,1027.3872717609863,109214.958289757,2099.8646432734354,7,True,True,True,True
11575,2242.0,9,32.28,8,117.71,2,0.01,51.21,286.96,0.01,147.37,120.33,103.43,27714.559389770962,930.2548880668658,55440.37974757237,927.1425592698122,109482.88455407693,1862.4753324905948,14,True,True,True,True
11577,1748.05,10,51.23,9,112.12,1,0.01,24.36,133.05,0.01,52.83,257.62,101.55,47711.35825236226,1102.2280342151892,54837.352478139546,837.8287462774157,108423.67128847478,1620.5431022565892,9,True,True,True,True
11570,1382.83,10,53.68,3,88.36,1,0.01,140.56,287.86,0.01,28.24,251.99,91.86,71337.82868699003,911.3403550796068,58009.404562389784,1535.9476267842942,112486.50404592829,2983.1876287695004,10,True,True,True,True
11579,2148.05,11,26.17,2,31.49,2,0.01,72.8,144.84,0.01,130.57,166.22,79.51,11729.798148749678,204.12361782936685,57100.65182666882,1032.8306467954048,111698.49263105313,1985.8673313978395,6,True,True,True,True
11580,1700.32,4,48.14,4,20.13,2,0.01,42.55,115.53,0.01,122.69,102.66,128.47,12685.22434840773,261.2976844332625,55360.623809852,1243.1695920164639,109473.90285405828,2518.375297295547,8,True,True,True,True
11585,1713.84,4,50.8,9,50.71,1,0.01,129.04,71.31,0.01,53.69,140.58,54.76,22316.407450883038,354.4067363069951,55947.292227420934,681.524023006341,110566.58043595726,1305.1154095075597,5,True,True,True,True
11573,909.79,3,21.98,10,25.26,1,0.01,86.79,169.08,0.01,130.33,93.82,79.07,20303.347599043092,112.5531775859718,60646.31897720569,357.5439474638502,117215.86737400386,691.6938839162311,5,True,True,True,True
11584,2152.49,8,53.79,6,83.31,1,0.01,110.52,150.23,0.01,134.19,296.57,104.86,41081.695887982765,652.2840621026323,55614.3365090152,1351.6947042130143,109498.7638019848,2629.9999587393304,9,True,True,True,True
11578,1148.66,12,27.2,10,104.08,2,0.01,116.23,277.57,0.01,31.49,198.72,95.2,60946.74435470686,975.465339200727,55832.83823985352,1189.6306413759432,109754.15535395085,2301.224675199132,7,True,True,True,True
11586,1993.8,10,26.7,9,59.25,1,0.01,68.35,164.0,0.01,105.7,251.66,115.61,24295.419332992198,429.53136139380035,55403.149418772315,643.5342802756015,109499.05133579277,1272.146913473157,6,True,True,True,True
11588,1767.5,7,10.01,9,109.84,2,0.01,98.61,177.23,0.01,74.06,164.31,115.39,27863.737088893402,292.7909597015312,55313.93614208732,846.3911446460123,109261.07103713168,1683.8966432765412,5,True,True,True,True
11582,1135.3,6,35.46,12,50.8,2,0.01,65.0,287.31,0.01,75.74,254.05,86.75,50278.41741182866,705.7452364878208,57091.041691979204,398.26702985458195,111391.84431894527,687.8024173000117,5,True,True,True,True
11587,1921.61,12,52.04,9,60.01,2,0.01,109.26,48.04,0.01,96.29,190.84,80.27,23667.39847315864,490.1315392496252,54460.463940077716,1060.5468822125636,107988.59907756175,2136.810358269913,8,True,True,True,True
11581,1007.69,11,16.88,6,20.33,2,0.01,115.03,194.8,0.01,137.18,118.5,115.1,17555.576944353452,321.9568876796688,55334.085046802444,390.3537715344136,109055.69252896083,789.2082002200148,6,True,True,True,True
11591,1929.05,7,18.24,11,119.24,1,0.01,126.42,157.22,0.01,82.39,283.39,96.77,46642.65698538469,531.5503101775586,55884.00573106636,586.4889361850423,110236.25516999283,1132.142089018463,5,True,True,True,True
11589,2225.0,3,34.87,10,121.28,2,0.01,66.18,269.08,0.01,51.67,104.47,84.78,24935.455910002736,510.78064174041197,57167.1920458303,1334.3947413881542,111957.19366121053,2612.0459747894965,8,True,True,True,True
11559,628.8,12,40.2,2,27.2,1,0.01,131.93,228.78,0.01,63.29,180.07,110.54,67294.78932366632,474.5082126827488,72446.64217750871,1095.2756084680004,127014.23851599684,1533.3667424321993,5,True,True,True,True
11594,1735.06,7,19.46,6,81.21,2,0.01,135.2,162.85,0.01,104.29,297.86,73.57,39597.51289264512,653.715665206279,55869.76806671652,652.7968420652662,109830.57847293238,1303.935717090344,6,True,True,True,True
11583,1198.94,3,21.29,11,85.66,1,0.01,37.64,270.01,0.01,135.94,190.84,136.83,46372.35064898118,604.0011459997467,60215.51807374758,1061.7977188256905,116134.7877763527,2069.25837104113,7,True,True,True,True
11598,2104.41,10,59.53,5,21.82,2,0.01,28.23,91.05,0.01,105.71,217.19,114.2,12552.088933894775,169.55265120805194,55736.05701835428,900.1175118608193,110032.9271814972,1711.8846779444657,6,True,True,True,True
11596,1465.39,2,47.87,11,59.25,2,0.01,39.06,118.85,0.01,124.21,188.26,45.98,30167.018913152995,399.71851537230197,57826.391622488736,1009.0434990658906,113217.65290405306,2003.7363402131648,7,True,True,True,True
11597,1927.88,10,41.87,2,34.57,1,0.01,114.94,282.03,0.01,135.0,88.31,129.6,22831.280966144703,534.2845593141719,55656.46640102134,1115.6089421010167,109452.75465601379,2258.4427186255834,9,True,True,True,True
11601,2357.84,6,21.3,11,96.76,1,0.01,62.9,295.3,0.01,104.1,235.4,100.73,30041.728520086126,641.1466251991446,55680.81627847282,1239.3114157937885,109453.01782623414,2429.0898078252685,8,True,True,True,True
11600,1744.4,12,23.72,11,90.45,1,0.01,96.18,59.2,0.01,60.8,168.85,120.89,25232.108877550192,331.1583421174915,54673.97625782496,1337.763864809017,108433.1149018324,2724.222931333695,9,True,True,True,True
11593,875.92,6,37.74,5,53.26,2,0.01,84.4,182.65,0.01,88.74,174.91,65.29,50674.13367067733,377.23315661501687,57901.554521531376,810.9468434896871,113060.32594603382,1605.9018778583643,5,True,True,True,True
11599,1042.11,10,51.2,4,21.65,2,0.01,61.73,168.69,0.01,30.62,167.48,110.19,32154.576630512332,282.4172192559683,56579.1770636295,730.5137934792295,110984.41199980867,1459.925572520095,5,True,True,True,True
11603,2146.05,11,11.0,2,35.76,2,0.01,78.97,49.19,0.01,125.36,77.75,100.49,5161.227098418595,92.57423103537735,55153.09791521292,943.5475688622553,109228.84103891422,1871.0479509231034,6,True,True,True,True
11606,1826.28,12,58.48,11,78.53,1,0.01,42.29,135.94,0.01,135.11,261.08,141.28,39378.113973583284,657.0161468491857,55172.77547418262,1283.0995357721033,109049.05335435958,2580.704731563811,8,True,True,True,True
11607,2255.61,9,37.73,5,27.29,2,0.01,146.88,122.21,0.01,47.16,72.99,45.39,11773.595542952995,349.8052462748951,54567.76308173682,1035.6393497654683,108443.1779661214,2084.9435243674793,11,True,True,True,True
11592,812.11,8,48.18,7,44.38,2,0.01,146.82,244.08,0.01,51.26,184.97,125.75,72563.89530140285,248.60597848595592,58423.11045962104,564.561205236412,113839.5514765881,1093.9034546843554,5,True,True,True,True
11604,1651.57,6,22.41,2,120.67,2,0.01,92.71,293.08,0.01,87.23,139.38,71.56,36045.85908351614,260.94941895791396,57336.607137625186,1198.7233756978528,111921.3827171419,2380.240364942542,7,True,True,True,True
11608,2119.06,7,34.25,7,121.26,1,0.01,132.8,79.05,0.01,145.59,286.8,85.64,47410.62067814826,656.6164330970698,55538.09248924728,1199.0242700420572,109494.03228301405,2378.192392740521,8,True,True,True,True
11609,1683.91,3,13.41,6,107.55,2,0.01,61.5,56.6,0.01,110.73,149.05,31.11,26033.24187778255,610.1325443644095,56033.47246442424,639.3007358165665,110989.53167565746,1288.2361877094418,8,True,True,True,True
11611,2247.29,4,51.91,11,71.97,2,0.01,116.2,263.19,0.01,117.54,255.61,97.55,38352.88800757996,732.3124451508525,57352.24536852605,1041.765894104573,112145.23681547379,2035.2609109448204,7,True,True,True,True
11602,910.57,6,15.31,10,45.9,2,0.01,94.42,262.5,0.01,135.38,290.85,39.27,48332.77863822492,304.5686710554422,58007.46280265147,428.3090387444785,112640.37519394871,858.0259520359368,5,True,True,True,True
11612,1860.79,5,56.31,9,96.94,1,0.01,73.83,153.54,0.01,111.32,110.23,136.75,29773.923067608048,707.4470223983695,55351.04453892317,1103.8111526908456,109362.61697421073,2174.97307471098,9,True,True,True,True
11605,1303.26,10,54.05,2,83.69,2,0.01,31.8,77.8,0.01,114.03,294.9,58.74,54878.40093513783,1267.891407338621,64683.16766794279,1538.1479006949703,118531.7775090235,1716.7621802640656,8,True,True,True,True
11613,1066.32,6,30.87,8,32.59,2,0.01,66.48,174.75,0.01,102.87,154.16,27.51,26384.54156511086,411.22815504984817,56173.05349681324,572.9770831820387,110568.24458689851,1132.7393900385416,5,True,True,True,True
11616,1879.5,6,16.53,4,109.0,1,0.01,135.3,257.83,0.01,101.9,126.99,104.38,26273.73127473543,384.5465278843984,56054.66675157371,801.8396715443943,110140.42046108161,1581.6731511281623,6,True,True,True,True
11614,1224.02,10,43.26,10,57.87,1,0.01,140.41,213.55,0.01,26.08,243.98,140.49,52382.36689869717,692.7275908613985,55377.17575645812,686.3442899896753,108875.53010073956,1328.391930114058,5,True,True,True,True
11618,1352.04,3,22.97,6,48.71,1,0.01,114.44,172.92,0.01,121.34,198.36,116.23,28018.73313650319,266.02407510645986,58096.192578292874,536.2108358529446,112837.11033327904,1095.5369923379599,5,True,True,True,True
11617,1351.7,2,49.43,6,105.39,1,0.01,50.74,217.37,0.01,45.54,143.23,52.83,47235.27998746006,438.9717146223162,61122.935115748085,931.1530461686214,117581.70630913058,1766.4231922012095,6,True,True,True,True
11615,830.5,8,59.65,9,116.84,1,0.01,47.38,256.39,0.01,73.75,86.44,129.75,77553.2829402181,788.6922645502862,57323.164888695916,915.3759906576979,112419.88682048701,1757.9830615498527,5,True,True,True,True
11620,1051.5,12,31.71,11,31.76,1,0.01,77.86,279.22,0.01,105.24,147.77,31.19,33864.97933384608,305.44622335673034,56106.321816912874,666.4898885918021,110554.47698085287,1326.9463964103438,5,True,True,True,True
11621,2193.38,10,51.49,9,91.88,1,0.01,42.36,229.96,0.01,115.59,297.59,103.58,43498.564430383405,720.1134975437983,54481.59280569603,1344.0179179163044,107297.80699440278,2689.8363492637527,10,True,True,True,True
