scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
253,1059.14,6,14.34,8,93.75,1,0.01,106.88,126.44,0.01,112.82,260.69,59.58,62917.95893432423,17947.212784386906,34471.442958126354,5,True,True,True,True
254,1400.05,11,49.33,7,38.82,1,0.01,136.41,238.14,0.01,31.46,105.69,37.03,34644.651772299425,17473.43391628182,33976.675222729995,5,True,True,True,True
257,1944.39,6,38.93,11,118.57,1,0.01,149.11,209.48,0.01,29.87,151.71,79.73,36377.87014950351,17820.965762686843,34430.889461851024,8,True,True,True,True
260,2276.78,2,46.82,9,29.34,2,0.01,87.43,190.93,0.01,73.72,172.18,106.07,17503.673823747948,19199.563354144073,36255.448428827774,5,True,True,True,True
262,2113.0,8,56.6,8,103.54,2,0.01,66.2,197.93,0.01,30.22,180.42,125.14,35363.721595597206,17293.735445435206,33566.213241842794,5,True,True,True,True
258,1232.28,12,49.67,11,32.09,2,0.01,99.6,181.88,0.01,146.01,149.9,43.47,34424.95374167446,17314.076485265385,33735.71868155329,6,True,True,True,True
259,1679.51,3,43.54,7,89.57,2,0.01,38.72,214.82,0.01,28.02,191.34,103.46,37050.84693054137,18547.022402055314,35275.97291878405,6,True,True,True,True
261,1218.32,8,56.48,8,39.04,2,0.01,66.42,227.72,0.01,41.86,267.29,94.49,48509.233792777624,18083.343856140255,34700.6628282625,5,True,True,True,True
267,1640.68,12,53.05,6,22.4,1,0.01,93.21,282.27,0.01,43.42,73.53,35.62,28309.127689975983,17172.718415088693,33465.65081423125,5,True,True,True,True
263,1207.1,3,13.98,3,81.98,1,0.01,75.01,153.05,0.01,69.39,83.0,57.54,20103.02992804487,19188.957511263325,36541.98546859061,5,True,True,True,True
268,2332.85,2,57.94,7,81.98,2,0.01,94.17,91.42,0.01,69.14,178.03,105.17,24653.034450311356,18084.104858586194,34808.52009362445,8,True,True,True,True
264,1282.48,7,28.2,7,23.48,2,0.01,98.72,276.86,0.01,129.87,60.38,34.63,21058.23024312199,18154.108273545222,34923.62956353001,6,True,True,True,True
271,2007.56,9,41.64,11,46.18,2,0.01,63.31,118.17,0.01,88.34,217.02,85.68,19775.461721412146,16956.655272017662,33107.32782712251,7,True,True,True,True
270,1299.49,10,35.4,11,48.28,2,0.01,118.22,124.38,0.01,41.58,74.2,121.19,20577.15674993202,17060.219114345753,33430.47106340107,5,True,True,True,True
265,1168.0,9,52.4,2,96.83,1,0.01,29.04,159.14,0.01,49.7,244.87,71.9,64177.57406776023,21923.007566820463,39720.08942501224,6,True,True,True,True
269,1159.19,8,22.67,6,112.69,2,0.01,51.12,186.98,0.01,81.67,285.72,39.09,75258.49740630519,18307.321803416213,35213.669748189335,5,True,True,True,True
274,2356.98,3,34.27,4,110.63,2,0.01,30.08,227.84,0.01,133.37,189.22,38.37,29811.652770435314,17956.666633737696,34515.67392287117,5,True,True,True,True
275,2264.85,12,11.61,10,24.37,2,0.01,80.26,116.06,0.01,64.66,132.72,54.15,5594.104929824049,16922.35860982186,33220.16403671597,10,True,True,True,True
276,2079.74,6,25.94,2,109.72,1,0.01,80.07,288.29,0.01,136.94,148.44,117.45,30291.074862617093,18038.44371698225,34447.08726039115,6,True,True,True,True
277,1524.06,10,32.99,4,24.15,1,0.01,41.44,86.56,0.01,65.83,196.49,31.17,13022.633927887262,17223.178437839717,33631.57519551464,5,True,True,True,True
272,1381.45,3,44.31,5,92.51,2,0.01,68.24,296.04,0.01,108.47,184.0,86.17,55291.05178813564,20852.233416324605,38518.395319168114,5,True,True,True,True
280,2395.6,7,50.39,10,100.85,1,0.01,65.83,109.79,0.01,26.45,128.33,105.93,20315.69099536004,16939.545078958912,33192.09718971335,9,True,True,True,True
278,1858.44,6,24.73,3,81.9,2,0.01,117.36,288.64,0.01,125.52,118.31,113.59,25315.481302480417,18143.73250496784,34810.721365511396,5,True,True,True,True
281,1399.57,11,22.02,11,70.12,1,0.01,131.12,61.76,0.01,66.19,70.3,139.31,15843.14869155872,17145.34057958422,33630.23401229597,5,True,True,True,True
283,1942.16,10,33.99,5,20.09,2,0.01,136.98,141.39,0.01,87.8,238.07,101.33,15985.665539635174,17499.67115233763,33932.65654616684,5,True,True,True,True
282,1724.15,7,47.96,3,94.54,1,0.01,40.01,174.58,0.01,40.36,253.66,121.5,44716.09551531371,18583.090728788608,35602.59718665447,5,True,True,True,True
273,945.93,6,44.66,10,111.92,1,0.01,131.85,156.27,0.01,130.76,284.96,128.41,109790.03406047437,18687.072233077244,35381.93170427036,6,True,True,True,True
279,690.92,7,15.32,11,38.6,1,0.01,77.85,49.26,0.01,25.9,195.37,85.73,30814.82757807647,17592.331303784318,34236.44495146787,5,True,True,True,True
284,1734.27,6,41.73,2,117.05,2,0.01,106.82,184.56,0.01,63.27,252.77,102.02,54470.332256233014,19578.80212251336,36855.715028533705,5,True,True,True,True
287,2132.34,8,10.33,9,94.8,1,0.01,76.73,202.78,0.01,53.6,217.34,103.48,25313.638602473162,17309.487427914217,33577.69810793524,8,True,True,True,True
288,1920.12,6,58.15,6,111.99,2,0.01,71.74,120.31,0.01,33.51,188.43,28.63,36981.452974577296,17214.904317114804,33698.22894058752,6,True,True,True,True
289,2117.09,5,25.51,3,41.12,1,0.01,42.25,63.7,0.01,128.52,69.22,109.09,6776.554793917398,16880.068653471048,33248.5937049055,7,True,True,True,True
286,1369.43,4,14.24,10,50.67,2,0.01,73.0,113.23,0.01,41.9,201.05,119.83,21147.645987651485,17767.83582842241,34307.379210916806,9,True,True,True,True
293,1846.06,7,25.64,11,44.79,1,0.01,44.22,147.94,0.01,90.72,284.85,100.77,21719.597414627326,17136.32500370175,33221.885285153905,7,True,True,True,True
291,947.57,3,49.08,7,24.68,1,0.01,50.42,68.02,0.01,118.13,108.16,87.43,20629.896171874017,18004.121907318717,34885.60537757464,5,True,True,True,True
290,1306.97,7,28.06,4,33.62,2,0.01,39.94,95.22,0.01,104.33,271.8,146.1,22742.643549009055,18413.0840827029,35298.4483741782,7,True,True,True,True
292,1917.46,2,48.38,9,108.78,2,0.01,114.14,202.22,0.01,45.94,193.67,61.85,42207.53334636068,20392.260932576806,37925.866458916964,7,True,True,True,True
294,1764.13,2,43.55,7,54.17,2,0.01,120.07,132.27,0.01,43.09,297.67,116.83,33733.34679884234,19734.21992860276,36872.8454134519,6,True,True,True,True
296,1795.99,4,24.48,7,34.21,1,0.01,121.12,201.96,0.01,85.67,83.86,89.03,13491.94441420707,18376.285748178638,35309.82701293863,6,True,True,True,True
