scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
1060,2372.11,7,58.57,2,66.62,1,0.01,63.99,298.06,0.01,148.86,267.17,59.16,37178.1042715193,788.2367602814884,58767.59477584176,1041.6783735110748,113453.82288016696,1915.5665339757331,7,True,True,True,True
1061,1707.99,3,25.62,8,46.16,2,0.01,75.0,100.77,0.01,31.41,236.59,124.68,19873.190890231344,290.74903808952985,55860.18217496744,698.1650621956815,109953.2976559864,1381.5106545187862,6,True,True,True,True
1062,1775.79,9,50.13,3,57.3,1,0.01,149.16,72.89,0.01,64.94,125.33,24.5,22962.75711546976,333.73754082252594,56227.22821701011,540.0247093432811,111114.51753395224,1142.3621336723857,5,True,True,True,True
1063,2331.94,5,25.67,10,120.05,2,0.01,132.86,67.39,0.01,147.5,100.2,115.09,19280.198031087497,417.5982702655731,54926.28496818976,1524.529411682454,108844.95029134322,3017.164906562879,10,True,True,True,True
1064,1064.52,6,17.49,6,26.46,1,0.01,58.0,141.41,0.01,41.99,228.14,134.23,19965.38834353414,394.34286822616014,56884.41741527109,465.2772584298312,111683.7185175759,841.8184694033271,7,True,True,True,True
1065,2396.02,6,54.41,4,93.91,1,0.01,79.79,250.18,0.01,149.52,107.68,92.49,27569.396584644724,639.835616451371,55913.36226965253,899.0837317224582,110349.02317193462,1660.2607579204775,8,True,True,True,True
1066,1348.55,10,11.41,9,58.15,1,0.01,83.81,243.99,0.01,149.69,165.64,128.58,24538.883942831268,400.6669198811647,55737.4911182638,966.0258284574696,109779.61203353084,1967.7650860924168,7,True,True,True,True
1067,2258.78,10,10.27,12,80.17,1,0.01,109.33,211.02,0.01,55.72,259.75,48.47,24418.66803834124,171.09606946943978,55128.98650881385,664.2949810704388,108880.5551559329,1264.195950717444,5,True,True,True,True
1068,2065.44,10,18.83,10,74.12,2,0.01,123.23,245.59,0.01,126.58,206.02,80.04,25149.98720549383,312.5229345887065,54830.98036700683,981.907446018162,108273.5654092313,1906.3301779047845,6,True,True,True,True
1069,2390.83,6,18.32,12,46.11,2,0.01,119.64,48.78,0.01,58.1,139.37,113.84,9175.72989470102,170.27803210071178,54970.88634351502,1464.0548505482773,109075.04168513967,2950.127998809608,11,True,True,True,True
1070,1002.72,9,15.11,12,87.01,1,0.01,40.7,253.32,0.01,115.39,150.17,31.02,42428.11094335791,385.0315757357624,56279.53597241112,373.0780102400578,110841.29674041472,776.2457667869097,5,True,True,True,True
1071,1034.47,3,22.21,11,119.96,1,0.01,38.57,141.37,0.01,81.52,183.86,128.61,59798.76680596268,260.9600019212648,58000.84321751919,603.4954623056424,113243.44597446662,1210.9401713807792,5,True,True,True,True
1072,1533.76,8,56.57,9,65.88,1,0.01,48.96,188.31,0.01,88.18,232.31,124.72,42207.99912620965,439.7028950295544,55158.091496424895,928.5553881605912,108761.67561250884,1904.7572539134108,6,True,True,True,True
1073,1184.0,12,41.5,12,81.91,2,0.01,117.15,123.19,0.01,34.08,137.64,98.62,39663.86299288787,377.3808226733639,55134.17470810144,1086.7420623847129,109344.03385024438,2164.309034915992,7,True,True,True,True
1074,2399.79,5,61.85,5,107.67,1,0.01,60.5,111.88,0.01,104.18,135.31,87.83,24721.36787543168,504.4689035008114,55436.23475291382,1230.1874326861607,109984.5629648365,2456.945571159975,8,True,True,True,True
1075,2017.23,4,16.85,12,47.2,2,0.01,114.66,223.59,0.01,120.27,273.29,31.8,21270.194855530204,389.6915443034963,56273.51435187393,837.0738009588971,110151.36209479936,1661.2331523433804,6,True,True,True,True
1076,1265.52,12,54.25,4,73.67,2,0.01,73.11,176.98,0.01,84.93,93.26,117.79,36805.42382102242,305.0396307445059,55158.49266978867,333.67552309303505,109056.793924001,679.5127484067855,5,True,True,True,True
1077,2261.84,11,22.15,2,94.41,2,0.01,139.06,168.47,0.01,87.01,277.67,34.89,33900.076904338835,872.0872137932731,57797.28303109104,1030.4285188213746,111705.20151564808,1908.900202259119,10,True,True,True,True
1078,2210.33,11,16.05,3,60.21,2,0.01,79.38,56.33,0.01,133.39,234.74,78.94,17578.683484084904,512.98217780503,56338.402052738056,1194.9038369163625,110547.51584027828,2295.871450954125,11,True,True,True,True
1079,2295.1,6,60.69,12,53.17,2,0.01,81.88,187.37,0.01,116.68,198.24,80.9,26283.06198681929,308.7598168279924,55268.25837478512,1520.7644048661048,109210.65139750348,3023.606655958294,10,True,True,True,True
1080,2232.35,10,39.32,11,69.81,1,0.01,146.66,132.92,0.01,128.4,286.81,26.34,31828.874141059467,367.7962897794309,55653.77251923715,567.0102198631596,110072.50088136966,1101.405575841147,5,True,True,True,True
1081,1401.57,12,27.62,12,44.77,2,0.01,109.17,88.09,0.01,140.72,199.55,113.21,24210.949906283862,230.42114164212003,54824.25447162181,600.5339112657542,108617.39297705112,1213.2646643525718,5,True,True,True,True
1082,1850.25,2,29.56,5,101.79,1,0.01,32.08,250.28,0.01,133.39,293.37,58.54,48036.532196711945,653.0833265800184,60694.53045654594,1232.3632969969249,117426.6489504896,2482.206806532952,7,True,True,True,True
1083,1327.12,4,12.88,10,29.25,1,0.01,122.48,209.59,0.01,44.75,142.9,82.79,14193.578980726745,192.72129413049493,58149.77547536229,1033.893328930026,113428.84618776225,2005.321496630864,7,True,True,True,True
1084,2115.45,12,46.24,2,23.77,2,0.01,28.68,86.13,0.01,67.83,290.48,124.86,12877.915930865887,297.18486646360674,58718.59067311359,677.0897452059706,113245.74804251664,1284.614052250348,8,True,True,True,True
1085,2133.05,7,47.43,7,73.6,1,0.01,76.83,252.87,0.01,72.09,217.29,30.76,33129.57198285189,596.4149135545515,55222.54072098772,915.5246105337552,108952.79001016276,1837.7920840636705,7,True,True,True,True
1086,2101.18,5,51.78,3,123.3,2,0.01,26.71,192.43,0.01,30.87,223.12,72.75,41299.01998575865,253.5216796670195,56293.77631209108,985.3007916544652,110562.31701389472,1958.5326392450884,6,True,True,True,True
1087,1473.81,4,32.3,2,24.98,1,0.01,76.39,153.2,0.01,131.78,231.66,88.36,20452.34661562582,349.5488033718383,59266.1536495012,688.5081025310003,113796.59647437467,1270.7128594577573,6,True,True,True,True
1088,1622.16,5,55.6,2,53.75,1,0.01,55.58,279.86,0.01,127.97,194.98,137.71,40753.1147440945,411.1344541925861,59031.09994877861,474.2208869518437,114178.53770136937,1034.1530698372844,5,True,True,True,True
1089,775.69,11,41.35,10,37.85,1,0.01,95.13,146.84,0.01,69.21,161.32,125.91,46020.51055200153,336.263992075955,55679.9814763668,591.3452120430991,109818.0304547747,1148.598248699758,5,True,True,True,True
1090,1818.51,7,27.51,3,91.99,1,0.01,108.11,176.52,0.01,104.6,250.28,149.64,39313.99226719672,386.2032521038802,57598.61837556023,1457.8401069096092,112366.788506312,2807.8932191286194,9,True,True,True,True
1091,738.52,6,38.22,3,27.82,1,0.01,114.16,103.42,0.01,49.67,220.1,94.08,42684.20059928339,351.3063501603113,60934.37889992384,286.5385261707315,115847.10827392442,677.8857509383348,5,True,True,True,True
1092,636.39,9,29.69,6,123.77,1,0.01,147.65,260.42,0.01,126.77,254.21,32.84,159999.5771678948,531.5897358293367,59602.77625817488,484.1349639578675,114923.26052613914,892.5473086201567,5,True,True,True,True
1093,1945.08,3,50.25,7,82.85,1,0.01,85.11,180.73,0.01,30.24,290.87,58.1,42507.11694458806,393.3839110057573,57328.41738947408,920.8242693489718,112252.6982854097,1775.2287907137554,6,True,True,True,True
1094,1916.24,12,19.0,4,111.06,2,0.01,123.86,78.34,0.01,105.86,76.09,52.79,16644.5444088366,224.7922579667304,54210.80627887976,531.4588108270749,107730.91696277547,1047.83469359487,5,True,True,True,True
1095,1428.39,6,26.51,5,22.62,2,0.01,105.17,266.57,0.01,137.55,123.4,36.78,19858.646555558596,292.2928136027786,56633.458178485984,922.9900356954696,111112.7765506424,1797.5610469969547,6,True,True,True,True
1096,2332.11,10,22.75,11,122.42,2,0.01,66.9,113.47,0.01,27.25,288.51,120.24,38281.0237290165,720.0281718105769,54842.87072787723,976.0555935031064,108440.63273572786,1983.4097174585,6,True,True,True,True
1097,1430.33,9,22.85,7,28.52,2,0.01,79.52,210.57,0.01,109.24,120.82,24.55,16036.936991045532,223.2919299318937,55719.80979611151,1040.4375761486344,110235.55194326448,2065.0911005953103,6,True,True,True,True
1098,1533.05,9,57.99,6,75.95,1,0.01,129.0,78.53,0.01,70.5,254.82,24.28,46369.46222707127,443.0215603525022,55523.40054830922,743.5545394434538,109457.1435254748,1424.133275152128,5,True,True,True,True
1099,704.29,10,39.72,8,89.0,1,0.01,137.66,232.0,0.01,26.38,280.69,119.04,124296.20071287733,1027.3969276742894,57850.12678926582,234.6561635105006,112493.8215553258,500.9178359871213,5,True,True,True,True
1100,948.4,12,48.26,4,20.55,1,0.01,61.1,114.91,0.01,106.29,173.6,111.76,28117.81386560057,144.9260831767118,56512.77250744629,270.10812284893274,110328.2404941055,520.4885423819878,5,True,True,True,True
1101,2198.69,8,52.79,2,114.04,2,0.01,112.45,264.29,0.01,87.38,216.02,107.56,45638.50199148606,981.2940789168312,57164.84835611674,1285.521159848903,111179.23484643802,2504.735198031027,8,True,True,True,True
1102,1578.32,11,53.04,2,51.95,1,0.01,97.18,74.65,0.01,90.81,227.35,72.26,29852.40962918173,258.7823791848519,58220.85084702417,1027.4056801717477,112120.74316159336,1969.9208749578936,6,True,True,True,True
1103,1011.42,3,40.56,10,38.52,2,0.01,32.53,254.64,0.01,91.16,131.19,71.93,37072.38684699215,367.1921580023702,60959.52851563092,1547.9930960606623,117516.8479675736,2952.6863548589213,9,True,True,True,True
1104,730.15,2,44.4,2,98.04,1,0.01,37.39,286.94,0.01,143.84,277.98,121.37,132332.5285082553,1544.076192959912,152076.8461319738,5027.147537608461,228374.16859444283,5900.737643519742,14,True,True,True,True
1105,1774.88,12,35.08,7,63.21,2,0.01,88.13,82.95,0.01,69.51,251.77,119.69,28049.33063543392,472.6362902988207,55525.30670346064,1203.9115525948996,109660.53702416044,2373.553131054184,8,True,True,True,True
1106,2010.27,12,19.49,11,61.39,1,0.01,121.98,283.67,0.01,117.68,263.98,93.11,27923.763791968217,446.1265964937136,55280.34491127189,894.6015601159854,108906.18241946209,1822.370205196436,6,True,True,True,True
1107,1919.39,7,18.86,7,85.56,2,0.01,129.18,280.85,0.01,84.08,265.59,79.46,36475.26587709006,746.7548430669787,56827.30673548428,718.8383636146978,111475.04533514762,1401.994783686769,8,True,True,True,True
1108,1375.87,2,20.18,8,90.12,1,0.01,27.02,232.4,0.01,44.75,207.13,43.79,39476.25334879655,771.4535120953038,60859.51780085427,988.628598126766,117236.79966513162,1881.1684145917616,7,True,True,True,True
1109,1389.04,11,11.57,4,99.08,2,0.01,131.05,244.93,0.01,105.05,119.33,87.06,28568.150097872065,576.3440743418506,55686.26281247374,1144.745176561165,109804.02839407668,2245.857058863467,7,True,True,True,True
1110,1477.8,11,37.29,8,20.62,1,0.01,44.29,222.8,0.01,119.64,62.09,104.22,17027.46361787735,297.8861472955578,54918.85160038993,410.9215170792983,108749.39859829342,820.5392320916993,6,True,True,True,True
1111,2146.82,12,35.29,9,89.44,2,0.01,94.22,62.06,0.01,51.46,238.53,96.12,28715.14440323035,814.6276756117359,55154.74451740542,950.164911752446,109267.15820314664,1918.2701225569565,11,True,True,True,True
1112,1657.81,6,55.35,7,79.81,1,0.01,148.42,180.44,0.01,50.66,230.98,34.37,49215.502977736935,585.5996673761899,56390.333263761786,266.6871591679592,111004.59667618207,510.35507677184455,5,True,True,True,True
1113,2352.47,7,57.16,2,91.97,1,0.01,116.74,102.88,0.01,35.51,176.2,51.5,27027.33260447967,505.7256766075511,55813.43834536543,1316.7426414427457,109655.01899880324,2588.54483761381,9,True,True,True,True
